APOGEE_ID,APOKASC2_AGE,APOKASC2_AGE_MERR,APOKASC2_AGE_PERR,DR16_ALP_M_COR,DR16_ALP_M_COR_ERR,DR16_FE_H,DR16_FE_H_ERR,DR16_M_H_COR,DR16_M_H_COR_ERR,DR16_O_FE,DR16_O_FE_ERR,ASTRONN_AGE,ASTRONN_AGE_ERR,TEFF,ASTRONN_TEFF_ERR,ASTRONN_LOGG,ASTRONN_LOGG_ERR,ASTRONN_C_H,ASTRONN_C_H_ERR,ASTRONN_N_H,ASTRONN_N_H_ERR,ASTRONN_O_H,ASTRONN_O_H_ERR,ASTRONN_TI_H,ASTRONN_TI_H_ERR,ASTRONN_FE_H,ASTRONN_FE_H_ERR,STARHORSE_M_H,STARHORSE_M_H_MERR,STARHORSE_M_H_PERR,ASTRONN_C_N,ASTRONN_C_N_ERR,ASTRONN_O_FE,ASTRONN_O_FE_ERR,AGE_DIFF
2M19154977+4655262,17.538805,3.5429318,0.04043112,0.154929,0.0068016886,-0.19721155,0.008454729,-0.17792155,0.007163395,0.18453501,0.008004952,7.98404924111855,2.238968063014473,4097.7935,20.81163,1.4394042,0.055115778,-0.11924592,0.032578133,-0.002213745,0.023275731,-0.0015072264,0.035181977,-0.061018925,0.042673957,-0.19657502,0.025629302,-0.104270495,0.009158164,0.008937515,-0.11703217,0.04003866,0.1950678,0.043527376,-9.55475576681602
2M18530223+4707524,13.4276495,5.911421,3.7119234,0.0025789998,0.0049376916,0.34753844,0.006890954,0.35875845,0.00571418,0.021612018,0.005139455,8.352420590515141,3.398235155753309,3930.2253,40.6998,1.5885202,0.08018532,0.3579863,0.0528581,0.49805596,0.045437902,0.35416153,0.042917542,0.6635937,0.1532393,0.31019846,0.051609028,0.3252578,0.0,0.0,-0.14006966,0.06970353,0.043963075,0.06712233,-5.075228907470699
2M19101090+4713136,16.634127,6.6800723,1.2307492,0.017218001,0.006931717,0.13727845,0.008330929,0.15271845,0.007403032,0.020190999,0.011836483,6.056171907454322,1.3642613459104538,4510.742,26.171402,2.252845,0.053237952,0.15719733,0.0354902,0.3372482,0.03634287,0.17068405,0.03562051,0.19650462,0.04650413,0.1349641,0.027191862,0.14465082,0.019719467,0.0015106648,-0.18005088,0.05079723,0.03571996,0.044813145,-10.577954755753685
2M19262893+4716510,16.74943,5.784647,0.8703317,0.138949,0.0071392693,-0.24091154,0.007699275,-0.21841155,0.0068162046,0.201755,0.012126003,7.2910286832299285,1.7047321313347372,4640.6797,22.118444,2.2610223,0.05029218,-0.1103673,0.021448754,-0.08494772,0.018440127,-0.005467493,0.021566797,-0.13365977,0.03853724,-0.23848827,0.020281034,-0.11109061,0.02035261,0.0007510334,-0.025419578,0.028285814,0.23302078,0.029604848,-9.45840101952886
2M19102804+4735234,13.489629,1.3836474,1.7860317,0.0001609996,0.006022162,0.12618846,0.006643285,0.14088845,0.005917928,-0.048287004,0.011738559,6.190953354924332,1.5983129284934123,4765.887,27.1703,2.4950461,0.047488853,0.127682,0.03590485,0.17874005,0.018583953,0.12128679,0.022215452,0.09288938,0.025953412,0.087519266,0.019024327,0.10630944,0.0022877231,0.017193556,-0.051058054,0.040429216,0.03376752,0.0292481,-7.29867543688475
2M19463083+4730335,14.927944,4.286514,2.5705228,-0.0046200007,0.007580722,0.02197845,0.008763389,0.01855745,0.007856058,0.041181,0.014112767,5.923979809907302,1.1244033463472458,4582.097,28.772827,2.219428,0.061666317,-0.10619088,0.022584185,0.15138957,0.022131033,-0.036732517,0.021411724,-0.035963915,0.035292603,-0.061437063,0.02050548,-0.01686206,0.010121796,0.0008819867,-0.25758046,0.03162006,0.024704546,0.029646866,-9.003964373442308
2M19473219+4733062,12.912192,4.950599,4.993866,0.0060819983,0.0054965126,0.14072846,0.006589795,0.16026846,0.005685528,0.037444994,0.007509422,6.16424453629016,1.9276695120033436,4311.368,20.041115,1.9546875,0.04782904,0.10382348,0.028598761,0.3226271,0.031028513,0.15299734,0.025980053,0.1768747,0.04482258,0.106825,0.024713514,0.14402178,0.03786785,0.0014510453,-0.21880361,0.042197842,0.046172343,0.03585695,-6.7479478083753675
2M18501021+4738449,14.621772,5.267715,2.7162683,-0.005841,0.005804417,0.05308745,0.0069226036,0.070932455,0.005969567,0.019110002,0.007857186,6.127159025584673,2.1356334961357097,4310.9595,22.008192,1.9172451,0.050610296,0.052236557,0.028654,0.2539011,0.028601576,0.06316101,0.022766044,0.07886519,0.029968869,0.029099504,0.019376846,0.045854308,0.0023128204,0.018072762,-0.20166454,0.04048582,0.034061506,0.029895734,-8.494612786854292
2M19115168+4741384,16.368166,5.775628,1.4967105,0.067629,0.0055888635,0.13306846,0.006357556,0.17095844,0.005585869,0.08599998,0.009072257,8.003916291943646,1.4776624596153958,4557.5156,27.553598,2.5769498,0.07978706,0.24939993,0.045297295,0.24756128,0.028963238,0.24499379,0.031221367,0.24735743,0.036949143,0.13956873,0.027326278,0.25057772,0.018726438,0.0014125109,0.0018386543,0.05376536,0.10542506,0.041490953,-8.364249677904986
2M19570191+4741231,13.551894,4.368568,3.9465728,0.014791001,0.0062716766,-0.06837055,0.007912729,-0.047160547,0.00669393,0.038447,0.00733773,5.84836063808729,2.76460269164793,4101.2607,20.770588,1.5523294,0.052988283,-0.08436833,0.022558466,0.11861364,0.025126247,-0.010370944,0.028687915,0.016297424,0.051653832,-0.066232525,0.0237487,-0.033293873,0.0185121,0.0069069024,-0.20298198,0.033767033,0.05586158,0.037242413,-7.703533549839956
2M18451110+4745324,13.803843,2.2958388,2.602055,0.016975,0.0058993357,0.022868453,0.0071280133,0.04331145,0.0061183916,0.045972995,0.007689457,7.332899226674579,1.947719566567896,4247.3403,17.56668,1.9156779,0.05215798,0.009409085,0.021235704,0.1680489,0.018330542,0.067314714,0.022268659,0.0872512,0.047634706,0.00240449,0.019553233,0.04121514,0.00046910346,0.00038191676,-0.15863982,0.028052878,0.064910226,0.029634811,-6.470943317881085
2M19203434+4817042,15.346169,6.854365,2.2330663,0.164609,0.009220104,-0.27422154,0.0105533395,-0.25040156,0.009475049,0.20431499,0.016730612,8.195019000922795,1.2794149193676696,4563.3984,24.630838,2.1190407,0.05561208,-0.16619606,0.022438752,-0.08785136,0.017483588,-0.025429819,0.021051968,-0.16714238,0.03951711,-0.28582257,0.02187356,-0.13394673,0.020420521,0.002288863,-0.0783447,0.028445974,0.26039276,0.030358491,-7.151150470817928
2M19252279+4816429,12.971793,2.620371,3.0237875,0.021827001,0.005649194,0.18203846,0.0063396776,0.18606845,0.005605307,0.021460995,0.009905203,6.423375517756972,1.7601971379111563,4629.526,28.086483,2.3701215,0.053343102,0.20358527,0.037238862,0.3739292,0.036595423,0.17049746,0.025240138,0.1796765,0.030497149,0.1581576,0.025137644,0.14394794,0.0006842166,0.02358903,-0.17034394,0.052210707,0.01233986,0.035622545,-6.548417656986681
2M19342546+4812080,15.2756605,7.015281,1.9827183,,,,,,,,,7.742689607600954,1.815864353285327,4523.254,25.03267,1.89237,0.06263408,-0.50938183,0.026405672,-0.36036843,0.028760739,-0.21866664,0.027658686,-0.41622776,0.04266211,-0.5278852,0.023427688,-0.34993473,0.0067940056,0.0057697296,-0.1490134,0.03904407,0.30921856,0.0362472,-7.532970907230589
2M18454999+4821281,17.538805,4.5371094,0.5329362,0.24304901,0.014833228,-0.68421155,0.016034482,-0.6582115,0.014907851,0.48082504,0.038095433,7.759424091744604,3.0658488405682656,4952.1646,54.10161,2.3465257,0.094088234,-0.60815525,0.051603433,-0.5450172,0.057808943,-0.2533756,0.066405624,-0.5590684,0.10644931,-0.6782814,0.048630156,-0.4748453,0.019368708,0.018543065,-0.06313807,0.07749057,0.42490584,0.08230795,-9.779380916189966
2M19283472+4818255,16.86553,5.541527,8.253334,0.205079,0.008050869,-0.46559155,0.009136952,-0.45975155,0.007901064,0.228805,0.010842197,8.60633425817036,2.179857421669827,4297.0537,21.84218,1.6311711,0.0633273,-0.41628435,0.016731754,-0.27287868,0.022208204,-0.21642028,0.023776744,-0.35959065,0.035657745,-0.5022394,0.02288118,-0.31051576,0.015074819,0.0059868097,-0.14340568,0.027805682,0.2858191,0.03299821,-8.259195755867726
2M19541956+4827058,14.521116,5.3166203,2.6975696,0.238099,0.008310385,-0.5089716,0.0089723235,-0.50091153,0.007873117,0.27447504,0.012603752,7.945769491121914,2.267778391800379,4466.936,20.722418,1.7550836,0.05698213,-0.4982447,0.023058712,-0.35698906,0.027081653,-0.26996574,0.027854444,-0.44505098,0.041529022,-0.5711087,0.025374325,-0.31267187,0.009569168,0.0044999123,-0.14125565,0.035568528,0.30114296,0.03767926,-6.575346765591953
